year,artist,track,time,date.entered,week,rating
2000,2 Pac,Baby Don't Cry (Keep...,4:22,2/26/2000,1,87.0
2000,2Ge+her,The Hardest Part Of ...,3:15,9/2/2000,1,91.0
2000,3 Doors Down,Kryptonite,3:53,4/8/2000,1,81.0
2000,3 Doors Down,Loser,4:24,10/21/2000,1,76.0
2000,504 Boyz,Wobble Wobble,3:35,4/15/2000,1,57.0
2000,98^0,Give Me Just One Nig...,3:24,8/19/2000,1,51.0
2000,A*Teens,Dancing Queen,3:44,7/8/2000,1,97.0
2000,Aaliyah,I Don't Wanna,4:15,1/29/2000,1,84.0
2000,Aaliyah,Try Again,4:03,3/18/2000,1,59.0
2000,"Adams, Yolanda",Open My Heart,5:30,8/26/2000,1,76.0
2000,"Adkins, Trace",More,3:05,4/29/2000,1,84.0
2000,"Aguilera, Christina",Come On Over Baby (A...,3:38,8/5/2000,1,57.0
2000,"Aguilera, Christina",I Turn To You,4:00,4/15/2000,1,50.0
2000,"Aguilera, Christina",What A Girl Wants,3:18,11/27/1999,1,71.0
2000,Alice Deejay,Better Off Alone,6:50,4/8/2000,1,79.0
2000,"Allan, Gary",Smoke Rings In The D...,4:18,1/22/2000,1,80.0
2000,Amber,Sexual,4:38,7/17/1999,1,99.0
2000,Anastacia,I'm Outta Love,4:01,4/1/2000,1,92.0
2000,"Anthony, Marc",My Baby You,3:59,9/16/2000,1,82.0
2000,"Anthony, Marc",You Sang To Me,3:50,2/26/2000,1,77.0
2000,Avant,My First Love,4:28,11/4/2000,1,70.0
2000,Avant,Separated,4:13,4/29/2000,1,62.0
2000,BBMak,Back Here,3:35,4/29/2000,1,99.0
2000,"Backstreet Boys, The",Shape Of My Heart,3:49,10/14/2000,1,39.0
2000,"Backstreet Boys, The",Show Me The Meaning ...,3:54,1/1/2000,1,74.0
2000,"Backstreet Boys, The",The One,3:46,5/27/2000,1,58.0
2000,"Badu, Erkyah",Bag Lady,5:03,8/19/2000,1,67.0
2000,Baha Men,Who Let The Dogs Out,3:17,7/22/2000,1,99.0
2000,Barenaked Ladies,Pinch Me,3:46,9/9/2000,1,77.0
2000,Beenie Man,Girls Dem Sugar,4:17,10/21/2000,1,72.0
2000,Before Dark,Monica,4:04,5/20/2000,1,95.0
2000,"Bega, Lou",Tricky Tricky ,3:23,1/29/2000,1,75.0
2000,Big Punisher,It's So Hard,3:25,4/22/2000,1,96.0
2000,Black Rob,Whoa!,4:04,3/4/2000,1,78.0
2000,"Black, Clint",Been There,5:28,2/19/2000,1,87.0
2000,Blaque,Bring It All To Me,3:46,10/23/1999,1,73.0
2000,"Blige, Mary J.",Deep Inside,5:26,11/13/1999,1,83.0
2000,"Blige, Mary J.",Give Me You,5:00,4/15/2000,1,97.0
2000,Blink-182,All The Small Things,2:52,12/4/1999,1,89.0
